name,ticker,isin,productType,currency
Invesco Health Care S&P US Sel Sctr UCITS ETF Acc,XLVS,IE00B3WMTH43,ETF,USD
Invesco Hydrogen Economy UCITS Acc ETF,HYDE,IE00053WDH64,ETF,EUR
Invesco Hydrogen Economy UCITS Acc ETF,HYDE,IE00053WDH64,ETF,EUR
Invesco Hydrogen Economy UCITS Acc ETF,HYDE,IE00053WDH64,ETF,USD
Invesco Industrials S&P US Sel Sctr UCITS ETF Acc,XLIS,IE00B3YC1100,ETF,EUR
Invesco Industrials S&P US Sel Sctr UCITS ETF Acc,XLIS,IE00B3YC1100,ETF,USD
Invesco Industrials S&P US Sel Sctr UCITS ETF Acc,XLIP,IE00B3YC1100,ETF,GBX
Invesco Industrials S&P US Sel Sctr UCITS ETF Acc,XLIS,IE00B3YC1100,ETF,USD
Invesco JPX-Nikkei 400 UCITS ETF Acc,SC08,IE00BPRCH686,ETF,EUR
Invesco JPX-Nikkei 400 UCITS ETF Acc,N400,IE00BPRCH686,ETF,USD
Invesco JPX-Nikkei 400 UCITS ETF USD Hdg Acc,N4US,IE00BVGC6751,ETF,USD
Invesco JPX-Nikkei 400 UCITS EUR Hdg Acc ETF,NS4E,IE00BVGC6645,ETF,EUR
Invesco JPX-Nikkei 400 UCITS EUR Hdg Acc ETF,0Y72,IE00BVGC6645,ETF,EUR
Invesco KBW NASDAQ Fintech UCITS ETF Acc,KFTK,IE00BYMS5W68,ETF,EUR
Invesco KBW NASDAQ Fintech UCITS ETF Acc,FTEK,IE00BYMS5W68,ETF,USD
Invesco KBW NASDAQ Fintech UCITS ETF Acc,KFTK,IE00BYMS5W68,ETF,EUR
Invesco Materials S&P US Sel Sector UCITS ETF Acc,XLBS,IE00B3XM3R14,ETF,EUR
Invesco Materials S&P US Sel Sector UCITS ETF Acc,XLBP,IE00B3XM3R14,ETF,GBX
Invesco Materials S&P US Sel Sector UCITS ETF Acc,XLBS,IE00B3XM3R14,ETF,USD
